comment;Lang-tag;SA-tag;Off-lang-tag;;;
Marhba bikom fi Casablanca;DAL;3;0;;;
Marhba bikom fe jdida;DAL;3;0;;;
Mar7ba bikom 3andna ftanga;DAL;3;0;;;
Mam ana twahashtak khito;DAL;3;0;;;
Makat5afixi min li 5l9ek;DAL;2;0;;;
Mahxtix rdrtiha ou smhatlk;DAL;3;0;;;
Mahbouba men 3and allah;DAL;1;0;;;
mah azin wa3ra dima;DAL;1;0;;;
mah 3lik kanmot fik;DAL;1;0;;;
machalah 3lik dima toub;DAL;1;0;;;
Machaalh a3lik toujour top;DAL;1;0;;;
Macha allah 3likom mnwrin;DAL;1;0;;;
Macha alah 3lik mnwra;DAL;1;0;;;
Mabrouk hamza wald bladi;DAL;3;0;;;
Mabrok lil fanan l3adim;DAL;1;0;;;
Mabrok l3id Raki mnawar;DAL;1;0;;;
Mabrok l3id khti safa;DAL;3;0;;;
Maarhba bikom 3ana ftitouan;DAL;3;0;;;
Ma3a laasaf makinch rap;DAL;3;0;;;
Lyrics in English plz;ANG;3;0;;;
Love you Ahmed chawki;ANG;1;0;;;
Love ahmed chawki you;ANG;1;0;;;
Log life our king;ANG;3;0;;;
Llah ykml 3likom blkhir;DAL;3;0;;;
Llah ykhalihomlek ya rab;DAL;3;0;;;
Llah ikhlik dima tob;DAL;1;0;;;
llah ichafih ya rab;DAL;3;0;;;
lii 3ando hade Zayn;DAL;1;0;;;
Laykhlikom lb3dyatkom rakom top;DAL;1;0;;;
Lay barak fik alhbiba;DAL;3;0;;;
Lave you ahmed chawki;ANG;1;0;;;
lahwala wala 9owata ilabilah;DAL;3;0;;;
Lahola stri rasek akhti;DAL;2;0;;;
Lahe y5like toujours hakda;DAL;1;0;;;
lahawla wala 9owata ilabilah;DAL;3;0;;;
Lah yn3al zaml bokom;DAL;2;1;;;
Lah yn3al zamal bok;DAL;2;1;;;
Lah ykammal belkhir abderrafia;DAL;1;0;;;
lah ychafi sidna oyhfdo;DAL;3;0;;;
Lah ybark fikom ahbiba;DAL;3;0;;;
Lah ybark f3mr sidi;DAL;3;0;;;
Lah khalh lina dima;DAL;3;0;;;
Lah itol lina f3mrk;DAL;3;0;;;
Lah imskhkom awlad l9hab;DAL;2;1;;;
lah ikhlikom lba3diyatkom top;DAL;1;0;;;
Lah ikhlikom dima mejmo3in;DAL;1;0;;;
Lah ikhalikom lba3dkom yarab;DAL;1;0;;;
Lah charfin w5alih Lina;DAL;3;0;;;
lah 5alkem dima mjme3in;DAL;1;0;;;
Lah 3alikom top tjr;DAL;1;0;;;
laa 3al9a ett maa9t3iin;DAL;2;0;;;
La3zawi chafto 3la Chantalsaha;DAL;3;0;;;
La star des stars;FRN;1;0;;;
L7as lkapa ikh tfo;DAL;2;1;;;
L3robya mwahxin fghna Tfo;DAL;2;1;;;
L3az marrakech wlidat marrakech;DAL;3;0;;;
Kolxi wajad kgaskom 3atabdaw;DAL;3;0;;;
Kolona naftakhr bibaladina almaghrib;DAL;1;0;;;
Kol man 3alyaha fan;DAL;3;0;;;
kokan sodaysi tahad mayamxi;DAL;3;0;;;
Knto top bonne courage;FRN;1;0;;;
knat top safae lyoma;DAL;1;0;;;
King of the screen;ANG;1;0;;;
Khti safaa zin watbat;DAL;1;0;;;
Khotti fnair dima top;DAL;1;0;;;
kayne ghire l3naba makaribe;DAL;2;0;;;
Kayjiw m3ak ladwr lbria;DAL;3;0;;;
Kayeji me3ak lebas mesetor;DAL;3;0;;;
Kaybali mab9awch Les fan;DAL;3;0;;;
kaya3jbni had couple bazaf;DAL;1;0;;;
Kat3jbni bezaf lah ihfadkom;DAL;1;0;;;
Kat3arfina b3da bach twhchina;DAL;3;0;;;
Kanto wa3rin tbarklah 3likom;DAL;1;0;;;
Kanmout 3likoum jawboni pliz;DAL;1;0;;;
Kanmout 3lik safae hbirkou;DAL;1;0;;;
Kanmot 3lik azin dyali;DAL;1;0;;;
Kanhma9 3likoum dema top;DAL;1;0;;;
kan hma9 3lik safaa;DAL;1;0;;;
Kaki dima toop fniwna;DAL;1;0;;;
Jito m3a ba3diyatkoum toupp;DAL;1;0;;;
Jiti b7al chi mma;DAL;3;0;;;
Jit monwr akhti safae;DAL;1;0;;;
Jeti wa3er khay chawki;DAL;1;0;;;
je vous aime bezaf;FRN;1;0;;;
Jaime bcp bonne continuation;FRN;1;0;;;
Ja mein freund gut;AUT;3;0;;;
Its the best song;ANG;1;0;;;
Ils sont beaux mecs;FRN;1;0;;;
Hzo ghir srawlkom azommal;DAL;2;1;;;
Hum zwiine had rjal;DAL;1;0;;;
Htta ana kanmout 3lik;DAL;1;0;;;
Hta hna twhxnak Bzaf;DAL;1;0;;;
Hta hna twahxnak safae;DAL;1;0;;;
Hta hna twahchenak bb;DAL;1;0;;;
Hta hna twahachnak bazzaf;DAL;1;0;;;
Hta hna twahachnak bazaf;DAL;1;0;;;
Hta hna tohchnak bzaf;DAL;1;0;;;
hta hna kanmoto 3likom;DAL;1;0;;;
hta hna bb safouaa;DAL;3;0;;;
Hta ana twhchtk habiba;DAL;1;0;;;
Hta ana twahchtk obzaf;DAL;1;0;;;
Hta ana knmout 3lik;DAL;1;0;;;
hta ana chi gasswira;DAL;3;0;;;
Hounaka tarhibe fii jahaname;DAL;2;1;;;
Houda ban elik l2aman;DAL;3;0;;;
Hola hemanoe que tal;ESP;3;0;;;
Hola cario desde Martil;ESP;3;0;;;
Hit radio chb3at ichhar;DAL;3;0;;;
Hit nta hayawan bhalou;DAL;2;1;;;
Heta toma koneto top;DAL;1;0;;;
Hello my best star;ANG;1;0;;;
Hchoma star rask akhti;FRN;2;0;;;
hbircou jame voutre emesion;DAL;1;0;;;
Hay kifak wax rak;DAL;3;0;;;
Hata hna twahachnak azwina;DAL;1;0;;;
Happy birthday to Adam;ANG;3;0;;;
Happy birthday my prince;ANG;1;0;;;
Happy birthday little Prince;ANG;1;0;;;
Happy birthday little men;ANG;1;0;;;
HakimYour lah tl3at mzwja;DAL;1;0;;;
Hahah maskina khseen athsaa;DAL;3;0;;;
Hadok mklkhon wmaarfin walo;DAL;2;1;;;
hadok homa lmkalkhin tfoo;DAL;2;1;;;
Hadok eii l3arboch dyalkom;DAL;3;0;;;
Hadj lbtrboch masmy mosatfa;DAL;3;0;;;
hadi photo copie dialk;DAL;3;0;;;
hadi akhty ma7alfa elik;DAL;3;0;;;
Had mara jiti wjabti;DAL;3;0;;;
Had almohadara khasaque neta;DAL;3;0;;;
Ha rajl ha lmra;DAL;3;0;;;
Ha l3ar lama tghbar;DAL;2;1;;;
Ha ana kanmout 3lik;DAL;1;0;;;
Good luck my frand;ANG;1;0;;;
Golihom yjiw beni mellal;DAL;3;0;;;
God luck wkhsara ma3anhdrchi;DAL;1;0;;;
God bless you bro;ANG;1;0;;;
ghzala wi moto l7sada;DAL;1;0;;;
Ghozlan lah ykhalikom nba3titkom;DAL;1;0;;;
Ghir 3robiya finoma tanjawa;DAL;2;1;;;
gat zouina had lpfeto;DAL;1;0;;;
Fuck you mn lkhr;ANG;2;1;;;
Fuck you all you;ANG;2;1;;;
folos xe3ab mext nezbl;DAL;2;0;;;
Fo9ach bda had lbarnamaj;DAL;3;0;;;
Fnaire top de top;FRN;1;0;;;
Fnaire all the best;ANG;1;0;;;
Fna fna fna top;DAL;1;0;;;
fin hadchi ina mdina;DAL;3;0;;;
Fin chadha wafin ljadid;DAL;3;0;;;
Fin 3abrti al bogsa;DAL;1;0;;;
es macht einfach schtig;AUT;3;0;;;
dwaznh bkhir lhmdolah ontoma;DAL;3;0;;;
drabtina binhsk ya rabi;DAL;2;0;;;
Dogs have more respect;ANG;3;0;;;
Dima ziwina raki top;DAL;1;0;;;
Dima top hbiba safae;DAL;1;0;;;
Dima mnawrin 5oty lfnayr;DAL;1;0;;;
Dima ghzala tbrk alh;DAL;1;0;;;
dima fnaire siri siri;DAL;1;0;;;
Derona live men tma;DAL;3;0;;;
Ddicace lia bon chance;FRN;3;0;;;
Dazt lila lfnaniin Lfnair;DAL;1;0;;;
dad you are stylish;ANG;3;0;;;
da7ko 3la 3ibad lah;DAL;3;0;;;
cv ahmad wanta cv;DAL;3;0;;;
cuz dogs understand dogs;ANG;2;1;;;
Coolweareall with our country;ANG;1;0;;;
Chwki ychwki titwani dwlo;DAL;3;0;;;
Chwaf li galha lik;DAL;3;0;;;
Chokran 3la asdaa tanga;DAL;3;0;;;
Chifa2 al3ajil ya rab;DAL;3;0;;;
Chawki you are great;ANG;1;0;;;
Chawki of the best;ANG;1;0;;;
Chawki any new surprise;ANG;3;0;;;
Chawki 3alami ya salam;DAL;1;0;;;
charko fiha hir lemray9ia;DAL;2;1;;;
Cha3b kikhra bzf dommage;DAL;2;1;;;
Ch3b lkhari w3aw chwya;DAL;2;1;;;
Btawfi9 inchallah kanmot 3lik;DAL;1;0;;;
Bsaha khalifa tahia no3man;DAL;3;0;;;
Brina 7al9a kamla 3afakom;DAL;3;0;;;
Bravo nourdin zhar makayanch;DAL;1;0;;;
Bravo je vous aimes;FRN;1;0;;;
bravo hmaza layhfdk lwalidik;DAL;1;0;;;
Bravo elikom ra kan7abokom;DAL;1;0;;;
bravo chawki et lina;DAL;1;0;;;
bravo 3la saraha dyalk;DAL;1;0;;;
Bonne initiative bravo monsieur;FRN;1;0;;;
Bon courage les frres;FRN;3;0;;;
Bon courag tbrklh 3likom;DAL;1;0;;;
Bogossa bla9yas lah ihajbk;DAL;1;0;;;
Bnti liya ghadori bih;DAL;3;0;;;
bnate mdinti sfro zwinate;DAL;1;0;;;
Bibi nati zawin bazf;DAL;1;0;;;
bghit lik jahnnama nchaallah;DAL;2;1;;;
Besebabek ntii megharebaa khaserin;DAL;2;0;;;
because there is nothing;ANG;2;0;;;
Baraka mn l7is lkaba;DAL;2;1;;;
Baki ma9ata3ti asi xawki;DAL;3;0;;;
Baghin wissam awlad l9hab;DAL;2;1;;;
baghi lagrima awld l9ahba;DAL;2;1;;;
B9iti tab3ahom hta 3ayantihom;DAL;2;0;;;
Ayoub dzti mn hna;DAL;3;0;;;
Ayah akha achref Damah;DAL;3;0;;;
Auguridi buon compleanno adam;ESP;1;0;;;
atbrklah 3lik alh ahfdak;DAL;1;0;;;
anayda temaya cheftoni canchof;DAL;3;0;;;
ana mtchw9a na3rf nihaya;DAL;3;0;;;
Ana kantmna ntla9a bi;DAL;3;0;;;
Ana kanmot 3lik safa;DAL;1;0;;;
Amine khoya ca va;DAL;3;0;;;
Amin yarbi whta Nti;DAL;3;0;;;
Amin yarbi jomo3a mobaraka;DAL;3;0;;;
amin yaraba al 3alamin;DAL;3;0;;;
Amin ya rab nchllh;DAL;3;0;;;
Amin wjamu3 lmoslimin yarbi;DAL;3;0;;;
Amazing bro speech less;ANG;1;0;;;
Allahoma amiin ya rab;DAL;3;0;;;
Allah ykhlikom fdad Jahl;DAL;2;0;;;
Allah ybarek fik ahmed;DAL;3;0;;;
Allah yahfadkoum man l3in;DAL;1;0;;;
Allah yachfi ya rabe;DAL;3;0;;;
Allah lwalidine ou sa7a;DAL;3;0;;;
alina w3lik khti safaa;DAL;3;0;;;
alh ikml 3lik o3ra;DAL;3;0;;;
alh ikhlikom dima top;DAL;1;0;;;
Alguna dia vienes Argentina;ESP;3;0;;;
Alah ykhalikom lba3di yatkom;DAL;3;0;;;
Akid dima dima maroc;DAL;3;0;;;
Ajm3 rask za3m mazwja;DAL;2;1;;;
Ajiw lcaza marhba bikom;DAL;3;0;;;
Aid moubark said allik;DAL;3;0;;;
Aid moubarak deriyfa dialna;DAL;1;0;;;
ai tsunami song super;ANG;1;0;;;
Ahsn momatil mtawd3a ohiboha;DAL;1;0;;;
Ahsan momatila fi l3alam;DAL;1;0;;;
Ahsan makin fi rap;DAL;1;0;;;
Ahmed chawki ma3andich m3ah;DAL;2;0;;;
ahmed chawki good look;ANG;1;0;;;
ahmad chaw9i ana ohobok;DAL;1;0;;;
ahln zwina rbra hadi;DAL;1;0;;;
Ahe safae jitu zwina;DAL;1;0;;;
Afyn chawki hanya wla;DAL;3;0;;;
Afin tenami Kayanchi jadid;DAL;3;0;;;
Ad jaya tswal fiya;DAL;3;0;;;
ach kayjik lhamed azzin;DAL;1;0;;;
Ach hal ana9a tm;DAL;1;0;;;
Ach hada ya safae;DAL;3;0;;;
Ach had ziin kamla;DAL;1;0;;;
7Al wa3ar 5oya chawki;DAL;1;0;;;
3tih grima 3la hsabi;DAL;3;0;;;
3roubiya alah ykhliha sal3a;DAL;2;1;;;
3meek li kat9llbi 3liihe;DAL;3;0;;;
3lina wa3lik inchaa allah;DAL;3;0;;;
3lina wa3lik enchalah Hbiba;DAL;1;0;;;
3lina w3likom bach matmanito;DAL;3;0;;;
3lina w3lik t3aydi ot3awdi;DAL;3;0;;;
3lina w3lik akhoya ahmed;DAL;3;0;;;
3lina w3lik ahkti safaa;DAL;3;0;;;
3lina o3lik akhti safa;DAL;3;0;;;
3lin wa3lik asi abdarhman;DAL;3;0;;;
3iyana chwiya had liyamat;DAL;3;0;;;
3ide moba3ak 3ala jami3e;DAL;3;0;;;
3id mobarak marboha nax2lah;DAL;3;0;;;
3id mobarak ahla safaa;DAL;3;0;;;
3id mbarak saaid safae;DAL;3;0;;;
3id milad khati asmae;DAL;3;0;;;
3la slamthom haj mabrour;DAL;3;0;;;
3marhba bik asmae ibiza;DAL;3;0;;;
3ndoo asmae hiay zinn;DAL;1;0;;;
9amar zin khamous 3like;DAL;1;0;;;
alah ikhalihom lik ahbiba;DAL;1;0;;;
amae passe prive mrc;FRN;3;0;;;
amin yarbi dima maroc;DAL;3;0;;;
Ana nmut 3llik assma;DAL;1;0;;;
Asiro ntoma re fasidat;DAL;2;1;;;
At9hbin 3ayn bayn hada;DAL;2;1;;;
Bon anniverce malikat andalus;DAL;1;0;;;
Bsha wraha asoma ta3na;DAL;1;0;;;
est une perle precieuse;FRN;1;0;;;
feq gafy abeent lqahba;DAL;2;1;;;
Fhamna h tabadool ta9afi;DAL;3;0;;;
Fifa es una Mierda;ESP;2;1;;;
Ghbarti aalina lalla Asmae;DAL;3;0;;;
Ghbrti 3lina azwiwna dyalna;DAL;1;0;;;
Habibat 9albi dima raja;DAL;1;0;;;
Hadi asmae wala dounya;DAL;3;0;;;
Hamdolilah hamro lina wjahna;DAL;1;0;;;
Happy birthday lalla asma;ANG;3;0;;;
Happy birthday to Asma;ANG;3;0;;;
Hsen men batman wallah;DAL;3;0;;;
Injustice envers le maroc;FRN;3;0;;;
Jiti zwina ana kt3jbini;DAL;1;0;;;
Journee inoubliable avec renard;FRN;3;0;;;
Joyeux anniversaire ahla asma;FRN;3;0;;;
Joyeux anniversaire chere asmae;FRN;3;0;;;
Kat7am9i macha2lah lah y7afdek;DAL;1;0;;;
L3az 3lmo lgliziya h;DAL;3;0;;;
Lah yakhod fihom lha9;DAL;2;1;;;
Latay 3ndk ta3 nik;DAL;2;1;;;
lلبنتلي ماشي ديالك الحبيبه;FRN;3;0;;;
Machaa lah trop belle;DAL;1;0;;;
Merci bcp asmaa leo;FRN;1;0;;;
Ntiya raki tamaa jwb;DAL;3;0;;;
Que aproveche bessaha azain;DAL;3;0;;;
Rabi hafdkom wakhalilkom ba3diytkim;DAL;1;0;;;
Raki mnawra khti asma;DAL;1;0;;;
Ro3a walahi rai3a okatar;DAL;1;0;;;
Sabah nour min settat;DAL;3;0;;;
Safi d3awik m9bola achikha;DAL;2;1;;;
stop asmae abdelhalim non;DAL;3;0;;;
ta chfar dertehome h;DAL;2;1;;;
Takafa dyal 3hirat bhalk;DAL;2;1;;;
Taz 3lik olfadya finahiya;DAL;2;1;;;
tbark lah 3lik ghzala;DAL;1;0;;;
tbarkalah 3la wlad lmarrib;DAL;1;0;;;
Tfo 3likom asfala safilin;DAL;2;1;;;
Tres belle voix Artist;FRN;1;0;;;
Tres elegante Aid moubarek;FRN;1;0;;;
Trop belle machaa lahe;FRN;1;0;;;
Tu es tres belle;FRN;1;0;;;
Tu etais juste magnifique;FRN;1;0;;;
vous encouragez la defaite;FRN;3;0;;;
Why they arrested him;ANG;3;0;;;
Zwamal almaghrib homa antoma;DAL;2;1;;;
اتواصل مع حضرتك ازاي;AUT;3;0;;;
اح علي الميمه اسماء;DAA;2;1;;;
احسن مقطع استمتعت بسماعه;ARC;1;0;;;
احلام اشبه بمافيا المكسيكيون;ARC;2;1;;;
احلي اسماء لمنور صوت;ARC;1;0;;;
إسبانيا هي لاتعادلات امعانا;DAA;3;0;;;
اسما المنو الميمه اح;DAA;2;1;;;
اسما المنور الزوينه الحبيبه;DAA;1;0;;;
اسماء اخذت النور كووله;DAA;1;0;;;
اسماء لمنور الفنانه المتواضعه;ARC;1;0;;;
اسماء نور علي نور;ARC;1;0;;;
اصلا ميستهلوش هاذ الوسام;DAA;2;0;;;
اصلا هيا برات وقيلا;DAA;3;0;;;
اصولتي واسما قمرات والله;DAA;1;0;;;
اطلاله راءعه ختي اسماء;DAA;1;0;;;
اطلالتك الليله من اين;ARC;3;0;;;
التجمع الوطني ديال لميمات;DAA;2;1;;;
الطريق نحو الوسام ه;ARC;3;0;;;
العقبه ليك اختي اسماء;DAA;3;0;;;
العمر كله يارب العالمين;ARC;3;0;;;
اللهم امين يا ربي;ARC;3;0;;;
المغرب احق فريق بالفوز;ARC;3;0;;;
المهم خرجنا براسنا مرفوع;DAA;3;0;;;
انت فخر لنا جميعا;ARC;1;0;;;
انك فعلا ميمه جميله;DAA;1;0;;;
او قمري طالع الليله;ARC;1;0;;;
باغيا العفيريه شي ويسام;DAA;2;0;;;
بالصحه والعافيه للا اسماء;DAA;3;0;;;
برافو اسوم طوب كعادتك;DAA;1;0;;;
بصحه وعافيه اللا اسماء;DAA;3;0;;;
بصراحه اهم هوا الفوز;ARC;3;0;;;
تحياتنا للشعب المغربي الشقيق;ARC;3;0;;;
تعشي تدي ويشيطلك الصرف;DAA;3;0;;;
جمال خيالي ولا اروع;ARC;1;0;;;
جميله ربي يوفقك فمشوارك;DAA;1;0;;;
حب الدار ياكلو البراني;DAA;2;0;;;
حبيبتي داءما التالق نورتينا;DAA;1;0;;;
حكام ولاد ستين كلب;DAA;2;1;;;
خلي محمد السادس يطلعه;DAA;3;0;;;
دمت متالقه سيدتي اسماء;ARC;1;0;;;
ديما مغرب وديما اسود;DAA;3;0;;;
راكي مناورا اختي اسماء;DAA;1;0;;;
روسيا بلاد القمع والدكتاتوريه;ARC;3;0;;;
زين غزال وفيه التبسال;DAA;1;0;;;
زين ولحمام دايرو فموسكو;DAA;3;0;;;
سدك غابحد انا لا;DAA;3;0;;;
شرفتي اشعبيه شرفتي ه;DAA;2;1;;;
شكون هداك مول كاسكيط;DAA;3;0;;;
شي حاجه نار نار;DAA;1;0;;;
صباح النور والورد والياسمين;ARC;3;0;;;
صوره جميله ولا اروع;ARC;1;0;;;
صوره خياليه ولا اروع;ARC;1;0;;;
طلعتي اجمل من العروس;DAA;1;0;;;
طلعتي اجمل من العروسه;DAA;1;0;;;
طلعتي مريقيه مع راسك;DAA;2;1;;;
عطيوها وسام حتي هي;DAA;3;0;;;
علاش كديري جيم لراسك;DAA;3;0;;;
عندو الزين عبر العالم;DAA;1;0;;;
عندو زين عندو لحمام;DAA;1;0;;;
عندو لغراب في دارو;DAA;2;0;;;
عني علي شعب مقهور;DAA;3;0;;;
عياشيه من درجه جنرال;ARC;2;0;;;
فرحان منين شفتك والله;DAA;1;0;;;
فمك كبير كي البزطام;DAA;2;1;;;
فيديو جميل ولا اروع;ARC;1;0;;;
فين حماله الصدر يااسماء;ARC;2;1;;;
قلبي معكم يامغاربا مصري;DAA;3;0;;;
قليك سيدي لواه دفدي;DAA;3;0;;;
كبيده منوره تواحشتها تحمقي;DAA;1;0;;;
كولشي رجال ماشفنا انوته;DAA;3;0;;;
لحيس كابا لله ينعلك;DAA;2;1;;;
لكن اخطاء المدرب كاينه;DAA;3;0;;;
لمهم خرجنا براسنا مرفوع;DAA;3;0;;;
ليك لاسماء لمنور فقط;DAA;3;0;;;
مالك علي هاد الحاله;DAA;3;0;;;
مبارك علينا وعليكم العيد;ARC;3;0;;;
متضامنون وعلي الحق واقفون;ARC;3;0;;;
متضامنون ولد بلادي مغربي;DAA;3;0;;;
مصوره مع حارس الكامرون;DAA;3;0;;;
مفيش مغربيه للزواج هون;DAA;3;0;;;
ملكه الجمال لاله اسما;ARC;1;0;;;
من هولاء يا اسماء;ARC;3;0;;;
منوياش تزوجي انا موجود;DAA;3;0;;;
نحبك اسماء والله يحفضك;DAA;1;0;;;
هادي ضربه جزاء صحيحه;ARC;3;0;;;
هداك الستاتي لا ه;DAA;3;0;;;
هذا عفن وليس فن;ARC;2;1;;;
هل تقبلين الغناء معي;ARC;3;0;;;
وا شرفتي العفيريته ه;DAA;2;1;;;
واش تقبلي تزوجي بيا;DAA;3;0;;;
واش ديب يسرح لغلم;DAA;3;0;;;
والاطلاله ديل البارح ماشفناهاش;DAA;3;0;;;
وجهك بحال طوبه يامسحه;DAA;2;1;;;
وكتقوليها بوجهك حمر ه;DAA;2;0;;;
ياسلام علي الطرب والجمال;ARC;1;0;;;
يوم جيد لكل المغرب;ARC;1;0;;;
codm rabha inchae lah;DAL;3;0;;;
mais ntmnaw codm terbeh;DAL;3;0;;;
ديالي قطعوها ليا مروده;DAA;3;0;;;
00 مقاطعون التوقيت الصيفي;ARC;3;0;;;
Dima OCS inchaa llah;DAL;3;0;;;
mat إن شاء الله;AUT;3;0;;;
ساعه علي انطلاقه التقواديت;DAA;2;1;;;
point inchaelah fus t3ich;DAL;3;0;;;
3ad wsselti lyuma yaak;DAL;3;0;;;
3atina ri chrayan h;DAL;3;0;;;
3lach rak tsab mousa;DAL;3;0;;;
3lash ma la3bshi Mbai;DAL;3;0;;;
3pts nxlh di Rifiyan;DAL;3;0;;;
3tiha chicha akhiya lwalji;DAL;3;0;;;
A7san fal montakhab daz;DAL;3;0;;;
 لازم تديلو الساعه;DAA;3;0;;;
Adnan bouajaj chafik Belkhatir;DAL;3;0;;;
Ah rah rabha codm;DAL;3;0;;;
allez les marocains raja;FRN;3;0;;;
allh 3ad ala yaxa3lah;DAL;3;0;;;
Ataba7 enchaalah puntos ghajib;DAL;3;0;;;
AZARO m3ndoch blassa matalan;DAL;3;0;;;
Bach katsewer Samsung mini;DAL;3;0;;;
Baghyan tnasiwna Walid h;DAL;3;0;;;
Baka khasah wa7d points;DAL;3;0;;;
barca ma darthach h;DAL;3;0;;;
Bayna 3lih mziwn l3b;DAL;1;0;;;
Bellaroussi bda kitfelseff aawd;DAL;2;1;;;
Berj molay Omar l3assima;DAL;3;0;;;
Bilmahi houwa sbab Koulchi;DAL;3;0;;;
bina nchofo lmontakhab marrakech;DAL;3;0;;;
Bon chance les vert;FRN;3;0;;;
Bon courage les fus;FRN;3;0;;;
Bon courage les vers;FRN;3;0;;;
Borzine xbanlk khay modarib;DAL;3;0;;;
Bouchta weld fir9aa kayt9atiile;DAL;3;0;;;
BRavoo khashom i9albo 3la;DAL;1;0;;;
Buena suerte nuestro equipo;ESP;3;0;;;
Bzf ans 3la lgazo;DAL;3;0;;;
etait un garcon sympatique;FRN;1;0;;;
qui le nouveau president;FRN;3;0;;;
est qui le chanteur;FRN;3;0;;;
Ch7al mrtba daba Codm;DAL;3;0;;;
Chakir dimari akhouya tanger;DAL;3;0;;;
chakire khouya demare demare;DAL;3;0;;;
Chi 3n cha3 lah;DAL;3;0;;;
Chno w9a3 match sala;DAL;3;0;;;
Simo Reus chof bana;DAL;3;0;;;
Daba ate3aqdo mea lacoste;DAL;3;0;;;
Daba daba fillet fillet;DAL;3;0;;;
Dartha widad fas hmadi;DAL;3;0;;;
Abdelaziz Nizar dimari tanger;DAL;3;0;;;
Abdalla Jraifi dimari tanja;DAL;3;0;;;
El bassatine ain slougi;DAL;3;0;;;
Ela lha yakon mostawa;DAL;3;0;;;
Elkhaldouni 3lax Makaynshi Tema;DAL;3;0;;;
Equipe amateurs les enfoirE;FRN;3;0;;;
Eud bdeto adomat dnbho;DAL;2;1;;;
mimon arsi ola fine;DAL;3;0;;;
Fach na9lin match birjoola;DAL;3;0;;;
Faut arracher les pts;FRN;3;0;;;
Felicitations avec beaucoup encouragement;FRN;1;0;;;
Felicitations les jeunes gaillards;FRN;1;0;;;
Felicitations pour ce titre;FRN;1;0;;;
Fo9ach test academy Tetouan;DAL;3;0;;;
Focus on the score;ANG;3;0;;;
Fuqax ghaykharju xkaket nbii3;DAL;3;0;;;
Ghdin thzoh akon hani;DAL;2;1;;;
H wach hadak modariib;DAL;3;0;;;
Had oulad khashom tagharbil;DAL;3;0;;;
Hadi hya lhadra db;DAL;3;0;;;
Hadrin icha alh solo;DAL;3;0;;;
Hahaahaha ghayjiw lhmir ysakhno;DAL;2;1;;;
Hahaha y3jbok hi thsinat;DAL;3;0;;;
Houssine Hamoud halin htal;DAL;3;0;;;
Hatim Lafkihi hanta sidi;DAL;3;0;;;
hit fihaa kayne yak;DAL;3;0;;;
Hmdelah wa akhiran point;DAL;3;0;;;
Mohamed AskaRi hmdolah Akhouyaa;DAL;3;0;;;
Horia kayn naciri kayn;DAL;3;0;;;
Hta ndaba so9om jawi;DAL;2;0;;;
Hta nta hna himmich;DAL;3;0;;;
Idrissi kayn ftadarib non;DAL;3;0;;;
Imta match wach bda;DAL;3;0;;;
in cha alah pnts;DAL;3;0;;;
Ina martib homa daba;DAL;3;0;;;
IsmailMessari ha fin cht;DAL;3;0;;;
Jani sawt dyalo mbadel;DAL;3;0;;;
Jawbona akhiti ch7al dayrin;DAL;3;0;;;
jiboha ya lwlad dima;DAL;3;0;;;
Khdmo tlfaza daialohom var;DAL;3;0;;;
Khotii fouqach la3aba tihad;DAL;3;0;;;
Khraj zrag dkhal khtiya;DAL;2;1;;;
Khsna tikis ytba3o tit1;DAL;3;0;;;
Kolchi tkhdem 2eme mitemps;DAL;3;0;;;
Kolxi yedna Vaamos tetuan;DAL;3;0;;;
Krahtona flkora d3inakom lah;DAL;2;1;;;
Ksa rah na9la daba;DAL;3;0;;;
L3az codm dima codm;DAL;1;0;;;
L3ebu moutu 3la shaqueta;DAL;3;0;;;
La bla choha brojola;DAL;2;0;;;
La liste des convoques;FRN;3;0;;;
La roja te amo;ESP;1;0;;;
Dima WYDAD la3aba wlaad;DAL;1;0;;;
La3bin Anouar dey3 Penalty;DAL;3;0;;;
Lah ir7em li maat;DAL;3;0;;;
Lah ysekher mrehba bihoum;DAL;3;0;;;
lal 3oda sidi 3mr;DAL;3;0;;;
Le3bo moto ela chakita;DAL;3;0;;;
Les points de ventes;FRN;3;0;;;
Lkhoot mazal lwraaq ghedaa;DAL;3;0;;;
Lkhosran sokar m3a nahiri;DAL;2;0;;;
lmobachir ila kan momkin;DAL;3;0;;;
Mab9atch 20dh welat 30dh;DAL;3;0;;;
mabrook 3likol points alkhoute;DAL;3;0;;;
mada5il mobara osar da7aya;DAL;3;0;;;
Marbo7a lwizaz al jari7a;DAL;3;0;;;
Marboha inchallah dima khadra;DAL;3;0;;;
Marbouha in sha allah;DAL;3;0;;;
marhba bikom Fi AsFi;DAL;3;0;;;
masira mowafa9a allah y3awnak;DAL;3;0;;;
Mbay el mejor goliador;ESP;1;0;;;
Mbrok elina hamdulah yarabi;DAL;3;0;;;
Me3a hamra heta nihaya;DAL;3;0;;;
mejor fechaje Vamo zaakaa;ESP;3;0;;;
Merbouha inxa2allah RCA IRT;DAL;3;0;;;
Merci de penser nous;FRN;1;0;;;
Mohamed yalah njarbo hadna;DAL;3;0;;;
 الاتزوري اخاي حمادي;DAA;3;0;;;
Mrboha inchaealah MAT FUS;DAL;3;0;;;
Mxa naghmi ja lwadi;DAL;3;0;;;
allez plus au stade;FRN;3;0;;;
Netmena poin ne tanger;DAL;3;0;;;
